age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,class,predicted
(37-47],Private,High School grad,Separated,Blue-Collar,Own-child,Black,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Own-child,White,Female,0,Low,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Not-in-family,White,Male,High,0,>45,>50K,>50K
(37-47],Private,Dropout,Separated,White-Collar,Not-in-family,White,Male,0,0,>45,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Admin,Own-child,White,Female,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Local-gov,Bachelors,Married,White-Collar,Husband,White,Male,Low,0,>45,>50K,>50K
(37-47],Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,Low,0,>45,>50K,>50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Female,0,0,>45,<=50K,<=50K
(37-47],Private,High School grad,Separated,Sales,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Masters,Never-Married,White-Collar,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Local-gov,High School grad,Separated,Admin,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Self-emp-inc,Associates,Married,Blue-Collar,Husband,White,Male,High,0,>45,>50K,>50K
<=28,Private,High School grad,Never-Married,Service,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Sales,Husband,White,Male,0,0,>45,<=50K,<=50K
>47,Private,High School grad,Married,White-Collar,Husband,White,Male,High,0,(40-45],>50K,>50K
(37-47],Private,Associates,Married,Other,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,Other,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
>47,Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,>50K
<=28,Private,High School grad,Never-Married,Admin,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Self-emp-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,>45,<=50K,>50K
<=28,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Separated,Service,Not-in-family,White,Male,0,Low,<=40,<=50K,<=50K
(28-37],Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
(37-47],Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Female,0,0,(40-45],<=50K,<=50K
<=28,Federal-gov,Dropout,Never-Married,Service,Own-child,White,Female,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Married,Sales,Husband,White,Male,0,0,>45,>50K,<=50K
<=28,Federal-gov,High School grad,Never-Married,Military,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
>47,Federal-gov,Dropout,Never-Married,Service,Not-in-family,Black,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Masters,Married,Professional,Wife,White,Female,Low,0,<=40,>50K,>50K
>47,Federal-gov,Bachelors,Separated,Admin,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Masters,Never-Married,Service,Not-in-family,Amer-Indian-Eskimo,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,White-Collar,Own-child,White,Female,0,0,<=40,<=50K,<=50K
>47,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,>50K,>50K
<=28,Private,High School grad,Never-Married,Admin,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Never-Married,Admin,Unmarried,Black,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Own-child,Black,Male,0,0,<=40,<=50K,<=50K
>47,Self-emp-not-inc,Dropout,Widowed,Service,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
>47,Local-gov,High School grad,Widowed,Admin,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,Dropout,Separated,Blue-Collar,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Local-gov,High School grad,Married,Other,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,Low,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Own-child,Black,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Female,0,0,>45,<=50K,<=50K
<=28,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Associates,Married,White-Collar,Husband,White,Male,0,0,<=40,>50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Unmarried,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Dropout,Never-Married,Service,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Separated,Admin,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,Bachelors,Separated,Sales,Unmarried,White,Female,0,0,<=40,>50K,<=50K
(28-37],Local-gov,Bachelors,Separated,Professional,Unmarried,White,Female,0,0,>45,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Sales,Own-child,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Other,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Separated,Other,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Separated,Blue-Collar,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Separated,Admin,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
>47,Federal-gov,Doctorate,Married,Professional,Wife,White,Female,0,0,<=40,>50K,>50K
<=28,Private,High School grad,Never-Married,Professional,Own-child,White,Male,0,0,<=40,<=50K,<=50K
<=28,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,>45,>50K,<=50K
(37-47],Private,Masters,Married,Professional,Husband,White,Male,0,High,>45,>50K,>50K
(37-47],Private,High School grad,Married,Admin,Husband,White,Male,0,0,<=40,<=50K,>50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Unmarried,Black,Female,0,0,<=40,<=50K,<=50K
(37-47],Self-emp-inc,Doctorate,Married,Professional,Husband,White,Male,0,0,(40-45],>50K,>50K
>47,Private,High School grad,Married,Blue-Collar,Husband,Black,Male,0,0,>45,<=50K,<=50K
(28-37],Private,Associates,Never-Married,Professional,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Sales,Husband,White,Male,0,0,>45,>50K,<=50K
>47,Private,Dropout,Married,Blue-Collar,Husband,Black,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Wife,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,Masters,Married,Professional,Husband,White,Male,0,0,<=40,<=50K,>50K
<=28,Private,High School grad,Never-Married,Admin,Own-child,Asian-Pac-Islander,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,White-Collar,Husband,White,Male,High,0,>45,>50K,>50K
(37-47],Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,0,Low,(40-45],>50K,>50K
(28-37],Private,Masters,Never-Married,Professional,Own-child,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Self-emp-not-inc,High School grad,Widowed,White-Collar,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,Associates,Widowed,White-Collar,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Sales,Husband,White,Male,0,0,<=40,>50K,<=50K
>47,Private,Bachelors,Married,White-Collar,Husband,White,Male,High,0,>45,>50K,>50K
<=28,Private,High School grad,Never-Married,Sales,Not-in-family,White,Male,Low,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Not-in-family,Black,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Dropout,Married,Service,Wife,Black,Female,0,0,<=40,<=50K,<=50K
>47,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Dropout,Never-Married,Blue-Collar,Unmarried,White,Male,0,0,<=40,<=50K,<=50K
(37-47],State-gov,Bachelors,Married,Admin,Husband,White,Male,0,Low,(40-45],>50K,>50K
<=28,Private,High School grad,Never-Married,Admin,Own-child,White,Female,0,0,<=40,<=50K,<=50K
<=28,Local-gov,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,Sales,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Never-Married,Blue-Collar,Unmarried,Black,Female,0,Low,<=40,<=50K,<=50K
(37-47],Self-emp-inc,Bachelors,Separated,White-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,Dropout,Married,Service,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Sales,Husband,White,Male,0,0,<=40,<=50K,>50K
<=28,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,(40-45],<=50K,<=50K
(28-37],Private,Bachelors,Never-Married,Sales,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(37-47],State-gov,Masters,Married,White-Collar,Husband,White,Male,0,0,(40-45],>50K,>50K
(28-37],Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,<=40,>50K,<=50K
>47,Self-emp-not-inc,Doctorate,Married,Professional,Husband,White,Male,0,0,<=40,>50K,>50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,(40-45],<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Unmarried,White,Male,0,0,<=40,<=50K,<=50K
>47,Local-gov,High School grad,Separated,White-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Married,Professional,Husband,White,Male,0,Low,<=40,>50K,>50K
(28-37],Private,Masters,Never-Married,Professional,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,Admin,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
>47,Private,Dropout,Married,White-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
>47,Local-gov,Masters,Separated,Admin,Unmarried,Black,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,(40-45],>50K,<=50K
<=28,Private,Associates,Married,Blue-Collar,Husband,White,Male,0,0,(40-45],<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,>50K
(28-37],Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,0,0,>45,>50K,>50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,Low,<=40,>50K,>50K
(28-37],Private,Masters,Never-Married,White-Collar,Own-child,White,Male,Low,0,<=40,<=50K,<=50K
>47,Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,High,0,<=40,>50K,>50K
(28-37],Private,Bachelors,Widowed,White-Collar,Not-in-family,White,Female,0,0,>45,<=50K,<=50K
(37-47],Private,High School grad,Separated,Sales,Unmarried,Black,Female,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,(40-45],<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,>45,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Not-in-family,White,Female,0,0,(40-45],<=50K,<=50K
(28-37],Private,Bachelors,Married,White-Collar,Husband,White,Male,0,High,<=40,>50K,>50K
(37-47],Private,Bachelors,Separated,Professional,Not-in-family,White,Male,0,0,>45,>50K,>50K
(37-47],Private,High School grad,Separated,Admin,Not-in-family,Black,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Professional,Unmarried,Black,Female,0,0,>45,<=50K,<=50K
(28-37],Private,High School grad,Separated,White-Collar,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,(40-45],<=50K,<=50K
(37-47],Self-emp-inc,Prof-School,Married,Professional,Wife,White,Female,0,0,>45,>50K,>50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,>50K,<=50K
>47,Local-gov,High School grad,Married,Other,Husband,White,Male,0,0,<=40,>50K,>50K
<=28,Self-emp-inc,Bachelors,Married,White-Collar,Husband,White,Male,0,0,>45,<=50K,>50K
>47,Private,Bachelors,Separated,Blue-Collar,Not-in-family,White,Male,0,0,(40-45],<=50K,<=50K
(37-47],Local-gov,Bachelors,Separated,Professional,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
>47,Private,Associates,Married,Professional,Husband,White,Male,0,0,<=40,>50K,<=50K
(28-37],Self-emp-inc,Bachelors,Married,Sales,Husband,White,Male,0,0,>45,<=50K,>50K
(37-47],Private,Dropout,Married,Blue-Collar,Husband,Black,Male,0,0,<=40,<=50K,<=50K
>47,Local-gov,High School grad,Married,White-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Bachelors,Married,Professional,Wife,White,Female,0,0,>45,>50K,>50K
(28-37],Private,High School grad,Married,Sales,Husband,White,Male,0,0,>45,>50K,>50K
<=28,Private,Dropout,Never-Married,Sales,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Own-child,White,Female,0,0,>45,<=50K,<=50K
(37-47],Federal-gov,Associates,Separated,Blue-Collar,Unmarried,White,Female,Low,0,<=40,<=50K,<=50K
(37-47],Private,Bachelors,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,Other,Own-child,Black,Female,0,0,<=40,<=50K,<=50K
>47,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Federal-gov,High School grad,Never-Married,Service,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Dropout,Never-Married,Blue-Collar,Other-relative,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Associates,Separated,Blue-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Female,0,0,(40-45],<=50K,<=50K
(28-37],Private,Bachelors,Married,Admin,Husband,Asian-Pac-Islander,Male,0,0,<=40,<=50K,>50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,Asian-Pac-Islander,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Never-Married,Blue-Collar,Unmarried,White,Male,0,0,<=40,<=50K,<=50K
>47,Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,0,0,<=40,>50K,<=50K
>47,Local-gov,Dropout,Married,Blue-Collar,Husband,White,Male,High,0,<=40,>50K,>50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,Bachelors,Married,Professional,Husband,White,Male,High,0,<=40,>50K,>50K
>47,Local-gov,High School grad,Married,White-Collar,Husband,White,Male,0,0,<=40,<=50K,>50K
<=28,Private,Dropout,Never-Married,Service,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,Prof-School,Married,Professional,Husband,White,Male,0,0,>45,<=50K,>50K
>47,Private,Masters,Never-Married,White-Collar,Unmarried,Asian-Pac-Islander,Female,0,0,>45,<=50K,>50K
(28-37],Private,High School grad,Married,Other,Husband,White,Male,0,0,<=40,>50K,>50K
>47,Self-emp-not-inc,High School grad,Married,Service,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Associates,Separated,Other,Unmarried,White,Female,0,0,>45,<=50K,<=50K
>47,Private,High School grad,Married,Other,Husband,White,Male,Low,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Never-Married,Service,Unmarried,Black,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Sales,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Local-gov,High School grad,Never-Married,Service,Own-child,White,Female,0,0,<=40,<=50K,<=50K
>47,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,High,>45,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Own-child,White,Female,0,0,<=40,<=50K,<=50K
>47,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Federal-gov,High School grad,Never-Married,Admin,Own-child,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Married,Sales,Own-child,White,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,>45,>50K,<=50K
(37-47],State-gov,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Sales,Own-child,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Associates,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,>45,<=50K,<=50K
<=28,Private,Bachelors,Married,Professional,Husband,White,Male,0,0,<=40,>50K,<=50K
<=28,Private,Bachelors,Never-Married,Other,Own-child,White,Male,0,0,>45,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Other-relative,White,Male,0,0,<=40,<=50K,<=50K
>47,Federal-gov,High School grad,Separated,Other,Not-in-family,Black,Male,Low,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Never-Married,Service,Not-in-family,Black,Female,0,0,<=40,<=50K,<=50K
(28-37],State-gov,High School grad,Never-Married,Service,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
>47,Self-emp-not-inc,Prof-School,Never-Married,Professional,Not-in-family,White,Male,0,Low,<=40,<=50K,<=50K
>47,Private,High School grad,Married,White-Collar,Wife,White,Female,0,0,>45,<=50K,<=50K
<=28,Local-gov,Masters,Never-Married,Professional,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Never-Married,Professional,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,Bachelors,Never-Married,Admin,Own-child,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,Masters,Never-Married,White-Collar,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,0,<=40,>50K,>50K
(28-37],Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,Dropout,Married,Sales,Wife,White,Female,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,>45,<=50K,<=50K
>47,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,>50K,<=50K
>47,Private,High School grad,Married,White-Collar,Wife,White,Female,0,0,<=40,>50K,<=50K
(37-47],State-gov,Masters,Never-Married,White-Collar,Not-in-family,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Service,Own-child,Amer-Indian-Eskimo,Female,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Separated,Service,Not-in-family,Black,Male,0,0,>45,<=50K,<=50K
<=28,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,0,0,<=40,<=50K,<=50K
>47,Self-emp-inc,Bachelors,Married,Blue-Collar,Husband,White,Male,High,0,>45,>50K,>50K
<=28,Private,High School grad,Never-Married,Other,Not-in-family,Black,Male,0,0,>45,<=50K,<=50K
(28-37],Federal-gov,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,>50K,<=50K
(28-37],Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,<=40,>50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Separated,Other,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
(28-37],Private,Bachelors,Married,Sales,Husband,Black,Male,0,0,>45,<=50K,>50K
(37-47],Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Female,0,0,>45,<=50K,<=50K
<=28,Private,High School grad,Never-Married,Blue-Collar,Own-child,Black,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,Other,Husband,White,Male,0,0,<=40,>50K,>50K
>47,Federal-gov,High School grad,Married,Blue-Collar,Husband,Black,Male,0,0,<=40,<=50K,<=50K
(28-37],Private,High School grad,Never-Married,White-Collar,Not-in-family,Black,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,High School grad,Married,White-Collar,Husband,White,Male,0,0,>45,>50K,>50K
>47,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,<=40,<=50K,<=50K
<=28,Private,High School grad,Married,Sales,Husband,White,Male,0,0,<=40,<=50K,<=50K
(37-47],Private,Dropout,Separated,Admin,Unmarried,White,Female,0,0,<=40,<=50K,<=50K
